247,1329,Tau,66.06,-0.75,4.95
248,1336,Ret,7.51,-78.04,3.35
249,1338,Dor,36.55,-70.14,4.25
250,1343,Per,69.17,12.91,4.93
251,1346,Tau,65.81,-5.73,3.65
252,1347,Eri,52.5,-53.96,3.56
253,1348,Tau,67.91,5.8,4.95
254,1350,Per,71.62,24.62,4.86
255,1355,Ret,19.61,-76.32,4.44
256,1373,Tau,66.87,-3.97,3.76
257,1380,Tau,67.13,-4.11,4.8
258,1387,Tau,68.2,0.63,4.22
259,1389,Tau,67.53,-3.69,4.28
260,1392,Tau,68.5,1.11,4.28
261,1393,Eri,54.49,-54.54,3.96
262,1394,Tau,67.37,-6,4.5
263,1396,Tau,67.29,-6.9,4.69
264,1407,Tau,67.98,-5.35,4.97
265,1409,Tau,68.46,-2.57,3.54
266,1411,Tau,67.95,-5.74,3.84
267,1412,Tau,67.96,-5.84,3.39
268,1427,,68.46,-5.59,4.78
269,1437,Eri,66.19,-21.68,4.89
270,1444,Tau,69.05,-7.04,4.65
271,1453,Eri,59.49,-50.94,4.51
272,1454,Per,73.58,19.01,4.26
273,1457,Tau,69.79,-5.47,0.86
274,1458,Tau,68.8,-11.74,4.25
275,1463,Eri,66.81,-25.12,3.92
276,1464,Eri,59.88,-51.82,3.82
277,1465,Dor,37.83,-74.58,3.27
278,1473,Tau,69.76,-9.5,4.27
279,1479,Tau,70.51,-6.17,4.7
280,1481,Eri,65.25,-36,3.87
281,1496,Eri,64.73,-41.38,4.3
282,1497,Tau,72.15,0.71,4.29
283,1502,Cae,56.15,-62.99,4.45
284,1520,Eri,69.34,-25.37,4.02
285,1533,,75.69,14.92,4.91
286,1542,Cam,80.98,43.42,4.29
287,1543,Ori,71.92,-15.38,3.18
288,1544,Ori,72.37,-13.48,4.35
289,1551,Aur,76.14,14.07,4.77
290,1552,Ori,72.1,-16.77,3.68
291,1556,Ori,73.49,-8.23,4.74
292,1560,Eri,71.05,-27.79,4.39
293,1567,Ori,72.49,-20.01,3.73
294,1568,Cam,79.27,30.9,4.47
295,1570,Ori,73.59,-12.37,4.67
296,1577,Aur,76.64,10.45,2.69
297,1580,Ori,74.34,-9.06,4.06
298,1592,Aur,77.64,15.1,4.95
299,1601,Ori,73.54,-20.85,4.47
300,1603,Cam,81.27,37.43,4.02
301,1605,Aur,78.84,20.94,2.99
302,1611,Eri,72,-35.04,4.78
303,1612,Aur,78.63,18.2,3.75
304,1617,Eri,73.21,-29.76,4.81
305,1620,Tau,76.79,-1.2,4.64
306,1621,,71.2,-42.54,4.92
307,1637,Aur,80.61,28.59,5
308,1638,Ori,76.54,-7.39,4.68
309,1641,Aur,79.45,18.28,3.18
310,1652,Cae,68.41,-57.89,4.55
311,1654,Lep,72.06,-44.96,3.18
312,1656,Tau,77.53,-4.23,5
313,1666,Eri,75.28,-27.86,2.79
314,1674,Dor,48.68,-78.94,4.72
315,1676,Ori,77.79,-7.31,4.82
316,1679,Eri,75.21,-31.54,4.27
317,1689,Aur,80.57,15.43,4.88
318,1696,Lep,75.76,-34.72,4.44
319,1698,Ori,77.57,-20.08,4.44
320,1702,Lep,75.39,-39.05,3.29
321,1705,Lep,75.9,-35.81,4.36
322,1708,Aur,81.86,22.86,0.08
323,1713,Ori,76.83,-31.12,0.13
324,1726,Aur,81.14,10.25,4.54
325,1729,Aur,81.85,16.95,4.71
326,1735,Ori,77.85,-29.84,3.59
327,1739,Tau,80.57,-1.01,4.94
328,1743,Col,73.54,-57.73,4.83
329,1744,Dor,346.87,-85.42,4.83
330,1756,Lep,77.78,-36.19,4.29
331,1762,,77.09,-44.24,4.71
332,1765,Ori,79.57,-23.48,4.74
333,1770,Ori,80.15,-19.58,5
334,1773,Aur,82.77,14.17,4.99
335,1780,Tau,81.47,-5.79,4.99
336,1784,Ori,79.58,-30.92,4.12
337,1788,Ori,80.16,-25.53,3.35
338,1789,Ori,80.54,-21.3,4.96
339,1790,Ori,80.95,-16.82,1.64
340,1791,Tau,82.57,5.39,1.65
341,1810,Tau,82.5,-1.29,4.89
342,1811,Ori,81.18,-20.09,4.59
343,1829,Lep,79.67,-43.91,2.84
344,1834,Ori,81.69,-24.31,4.71
345,1839,Ori,82.39,-17.3,4.2
346,1843,Aur,84.16,8.89,4.79
347,1845,Tau,83.4,-4.69,4.33
348,1852,Ori,82.36,-23.55,2.24
349,1855,Ori,81.91,-30.54,4.63
350,1862,Col,78.7,-58.63,3.87
351,1865,Lep,81.38,-41.06,2.57
352,1876,Ori,83.61,-13.81,4.41
353,1879,Ori,83.71,-13.37,3.66
354,1887,,82.88,-29.29,4.78
355,1892,Ori,83.04,-28.13,4.59
356,1899,Ori,83,-29.2,2.76
357,1903,Ori,83.46,-24.51,1.69
358,1907,Ori,84.13,-14.03,4.09
359,1910,Tau,84.78,-2.2,3.03
360,1922,Dor,52.12,-85.04,3.76
361,1931,Ori,84.1,-25.93,3.8
362,1934,Ori,84.5,-19.22,4.59
363,1937,Ori,83.92,-30.54,4.81
364,1946,Tau,85.49,-6.83,4.86
365,1948,Ori,84.68,-25.29,2.05
366,1949,Ori,84.68,-25.29,4.21
367,1952,,84.74,-24.48,4.95
368,1956,Col,82.17,-57.38,2.65
369,1963,Ori,85.28,-21.89,4.9
370,1983,Lep,84.85,-45.82,3.6
371,1995,Aur,87.82,15.76,4.53
372,1998,Lep,85.99,-38.22,3.54
373,2002,Tau,87.5,1.15,4.86
374,2004,Ori,86.4,-33.07,2.06
375,2010,Tau,87.4,-10.76,4.91
376,2011,Aur,88.16,13.88,4.74
377,2012,Aur,88.29,15.72,3.97
378,2015,Dor,26.45,-88.25,4.35
379,2020,Pic,82.54,-74.42,3.85
380,2029,Aur,89.14,32.27,5
381,2034,Tau,88.52,4.18,4.59
382,2035,Lep,87.17,-44.3,3.85
383,2037,Ori,87.97,-21.57,4.78
384,2040,Col,86.42,-59.18,3.12
385,2042,Pic,82.18,-79.54,4.51
386,2047,Ori,88.68,-3.16,4.41
387,2056,Col,87.36,-57.22,4.87
388,2061,Ori,88.75,-16.03,0.5
389,2077,Aur,89.92,30.85,3.72
390,2084,Tau,89.55,2.52,4.82
391,2085,Lep,88.9,-37.6,3.72
392,2087,Col,88.17,-60.55,4.97
393,2088,Aur,89.91,21.51,1.9
394,2091,Aur,89.99,22.5,4.25
395,2095,Aur,89.94,13.77,2.62
396,2102,,79.09,-86.47,4.65
397,2106,Col,89.03,-58.72,4.36
398,2113,,90.02,-26.51,4.52
399,2120,Col,89.61,-66.25,3.96
400,2124,Ori,90.6,-13.79,4.12
401,2128,Mon,90.55,-34.04,4.94
402,2134,Gem,90.95,-0.17,4.15
403,2135,Ori,90.92,-3.3,4.63
404,2148,Lep,91.56,-39.92,4.93
405,2155,Lep,91.9,-38.36,4.67
406,2159,Ori,91.85,-8.66,4.42
407,2198,Ori,92.92,-7.28,4.92
408,2199,Ori,92.93,-9.2,4.48
409,2209,,92.39,45.92,4.8
410,2212,Pic,97.33,-78.34,4.81
411,2215,Lyn,92.71,38.12,4.98
412,2216,Gem,93.44,-0.89,3.28
413,2219,Aur,93.36,6.1,4.35
414,2227,Mon,94.25,-29.66,3.96
415,2238,Lyn,93.1,35.62,4.48
416,2256,Col,96.48,-58.49,4.37
417,2275,,95.57,-26.29,4.9
418,2282,CMa,97.38,-53.37,3.02
419,2286,Gem,95.3,-0.82,2.87
420,2289,Aur,94.51,25.95,4.75
421,2294,CMa,97.19,-41.25,1.97
422,2296,Col,98.42,-56.71,3.85
423,2298,Mon,96.25,-18.72,4.44
424,2326,Car,104.96,-75.82,-0.72
425,2343,Gem,96.8,-3.06,4.14
426,2356,Mon,98.28,-30.27,4.6
427,2361,CMa,100.58,-55.76,4.48
428,2385,Mon,98.48,-15.86,4.5
429,2387,CMa,100.66,-46.56,4.33
430,2414,CMa,101.66,-46.05,4.54
431,2421,Gem,99.1,-6.74,1.92
432,2427,Aur,97.67,19.31,4.82
433,2429,CMa,101.74,-42.32,3.91
434,2435,,111.83,-75.75,4.39
435,2443,CMa,102,-41.28,4.42
436,2450,,101.98,-37.18,4.82
437,2451,Pup,107.15,-66.07,3.17
438,2456,Mon,100.37,-13.18,4.66
439,2462,,110.06,-70.99,4.93
440,2470,Lyn,97.26,36.29,4.87
441,2473,Gem,99.94,2.07,2.98
442,2478,Gem,100.86,-9.8,4.49
443,2484,Gem,101.21,-10.1,3.36
444,2491,CMa,104.08,-39.61,-1.46
445,2503,Mon,102.13,-14.91,4.76
446,2506,Mon,102.78,-20.5,4.46
447,2527,,95.68,53.83,4.55
448,2538,CMa,108.57,-55.15,3.89
449,2540,Gem,101.12,11.03,3.6
450,2549,,109.46,-56.95,4.99
451,2550,Pic,144.12,-83.04,3.27
452,2553,Pup,117.73,-72.85,2.93
453,2554,,121.23,-75.71,4.4
454,2560,Lyn,99.15,35.44,4.35
455,2564,Gem,103.49,-9.62,4.65
456,2571,CMa,107.24,-42.87,4.83
457,2574,CMa,106.18,-34.72,4.08
458,2580,CMa,108.16,-46.77,3.87
459,2585,Lyn,100.93,22.2,4.9
460,2590,CMa,107.88,-42.72,4.69
461,2593,CMa,107.04,-36.66,5
462,2596,CMa,107.52,-39.64,4.37
463,2608,,119.09,-70.74,4.95
464,2618,CMa,110.76,-51.36,1.5
465,2646,CMa,111.56,-50.23,3.43
466,2648,Mon,107.62,-26.72,5
467,2650,Gem,104.99,-2.04,3.79
468,2653,CMa,111,-46.13,3.01
469,2657,CMa,109.61,-37.99,4.11
470,2672,,123.55,-71.17,4.93
471,2693,CMa,113.4,-48.45,1.84
472,2696,Aur,104.39,16.77,4.99
473,2697,Gem,105.44,7.75,4.42
474,2701,Mon,109.64,-26.49,4.92
475,2702,,118.43,-61.41,4.83
476,2714,Mon,109.54,-22.72,4.15
477,2717,Gem,107.7,-6.16,5
478,2736,Vol,219.86,-82.62,3.78
479,2740,,124.74,-68.02,4.49
480,2742,,95.77,59.43,4.96
481,2745,CMa,115.33,-48.17,4.65
482,2746,,123.71,-66.49,4.89
483,2749,CMa,115.63,-48.56,3.82
484,2762,,127.09,-69.32,4.76
485,2763,Gem,108.78,-5.64,3.58
486,2764,,115.26,-45.09,4.79
487,2766,,116.55,-49.57,4.6
488,2773,Pup,120.3,-58.53,2.7
489,2777,Gem,108.52,-0.18,3.53
490,2781,CMa,116.26,-46.22,4.95
491,2782,CMa,116.38,-46.61,4.4
492,2787,,120.56,-58.11,4.67
493,2803,Vol,199.43,-82.48,3.98
494,2812,,115.94,-40.62,4.96
495,2818,Lyn,105.71,26.95,4.63
496,2821,Gem,108.96,5.76,3.79
497,2827,CMa,119.54,-50.61,2.44
498,2828,CMi,111.66,-12.57,4.99
499,2845,CMi,112.19,-13.49,2.89
500,2852,Gem,109.09,9.81,4.18
501,2854,CMi,112.35,-12.82,4.3
502,2864,CMi,112.27,-9.71,4.55
503,2874,,119.38,-44.2,4.86
504,2878,Pup,128.69,-63.77,3.25
505,2881,,122.38,-51.88,4.65
506,2890,Gem,110.24,10.1,1.58
507,2891,Gem,110.24,10.1,1.58
508,2902,,118.31,-35.69,4.98
509,2905,Gem,111.34,5.22,4.06
510,2906,,120.47,-43.28,4.45
511,2922,,122.92,-49.12,4.63
512,2930,Gem,110.74,12.91,4.91
513,2934,,141.74,-71.7,4.94
514,2937,,126.47,-55.37,4.53
515,2943,CMi,115.79,-16.02,0.37
516,2944,,122.78,-46.05,4.7
517,2946,Lyn,106.35,36.72,4.99
518,2948,,123.45,-47.41,4.5
519,2949,,123.46,-47.41,4.62
520,2959,,120.42,-36.09,4.96
521,2961,,129.06,-58.42,4.85
522,2970,Mon,119.28,-30.45,3.93
523,2973,Gem,112.63,7.45,4.29
524,7259,CrA,284.06,-16.75,4.11
525,2985,Gem,113.67,3.08,3.57
526,2990,Gem,113.22,6.68,1.14
527,2993,Pup,125.58,-48.7,4.59
528,2996,Pup,125.88,-49.21,3.95
529,3003,Gem,115.09,-2.65,4.87
530,3017,,130.89,-57.73,3.61
531,3024,Vol,225.76,-79.39,3.95
532,3034,Pup,126.06,-46.05,4.49
533,3045,Pup,126.04,-44.94,3.3
534,3046,,139.48,-65.93,4.71
535,3055,,139.07,-65.23,4.11
536,3067,Gem,115.24,5.78,4.98
537,3080,,135.08,-59.7,3.73
538,3084,,134.02,-58.08,4.49
539,3089,,144.28,-67.8,4.63
540,3090,,142.49,-66.46,4.24
541,3102,Pup,127.64,-42.58,4.2
542,3113,,130.93,-49.68,4.79
543,3117,Car,150.73,-70.33,3.47
544,3122,Mon,122.96,-23.76,4.93
545,3129,,145.7,-67.06,4.41
546,3131,,127.01,-38.07,4.61
547,3141,Mon,122.82,-21.45,4.67
548,3145,,122.24,-17.75,4.38
549,3149,Gem,117.24,7.23,4.94
550,3159,,180.72,-77.11,4.82
551,3165,Pup,138.55,-58.35,2.25
552,3173,Lyn,112.6,30.56,4.84
553,3185,Pup,131.39,-43.27,2.81
554,3188,Mon,125.14,-22.59,4.33
555,3192,Pup,129.96,-38.32,4.4
556,3206,Vel,147.34,-64.48,4.27
557,3207,Vel,147.35,-64.46,1.83
558,3211,Pup,128.57,-32.08,4.72
559,3220,,174.72,-75.09,4.76
560,3223,Vol,204.17,-77.78,4.35
561,3225,,140.84,-57.4,4.42
562,3226,,143.6,-60.46,4.75
563,3229,Pup,130.03,-34.71,5.01
564,3237,,139,-53.81,4.77
565,3243,,142.28,-57.86,4.44
566,3249,Cnc,124.26,-10.29,3.54
567,3270,,141.09,-54.13,4.45
568,3275,Lyn,117.56,23.11,4.25
569,3294,,153.04,-64.33,4.82
570,3307,Car,173.13,-72.68,1.86
571,3314,,129.85,-22.45,3.9
572,3318,Cha,239.3,-75.41,4.07
573,3323,UMa,113,40.24,3.42
574,3340,Cha,241.07,-75.05,4.35
575,3347,Vol,195.17,-75.59,3.77
576,3359,,151.08,-60.49,4.99
577,3403,UMa,112.81,44.03,4.61
578,3410,Hya,130.3,-12.39,4.17
579,3414,,172.92,-70.44,4.86
580,3418,Hya,131.21,-14.6,4.43
581,3426,,151.97,-58.26,4.14
582,3431,Hya,136.28,-29.72,4.98
583,3433,Pyx,143.32,-45.89,4.89
584,3438,Pyx,146.8,-51.16,3.98
585,3441,Hya,137.96,-32.9,4.88
586,3445,,156.54,-61.15,3.81
587,3447,Vel,164.73,-66.28,3.6
588,3449,Cnc,127.54,3.19,4.66
589,3452,,157.47,-61.66,4.77
590,3454,Hya,132.3,-14.25,4.3
591,3457,,178.32,-71.04,4.33
592,3459,,135.54,-24.44,4.62
593,3461,Cnc,128.72,0.08,3.94
594,3467,,165.65,-66.22,4.86
595,3468,Pyx,146.5,-48.92,3.68
596,3475,Cnc,126.35,10.43,4.02
597,3477,,153.69,-57.36,4.07
598,3482,Hya,132.34,-11.1,3.38
599,3484,Hya,138.36,-30.27,4.32
600,3485,Vel,168.95,-67.2,1.96
601,3487,,157.5,-60.14,3.91
602,3492,Hya,132.91,-11.55,4.37
603,3498,,173.3,-68.48,4.49
604,3518,Pyx,145.47,-43.29,4.01
605,3520,,157.84,-59.17,4.93
606,3547,Hya,134.58,-10.97,3.1
607,3556,Pyx,146.86,-42.85,4.89
608,3569,UMa,122.8,29.58,3.14
609,3571,,183.69,-70.14,3.84
610,3572,Cnc,133.64,-5.08,4.26
611,3574,,168.9,-64.57,4.69
612,3576,UMa,113.97,47.95,4.76
613,3579,,125.28,23.71,3.97
614,3582,,180.89,-69.08,4.92
615,3591,,157.04,-54.72,4.45
616,3594,UMa,123.94,28.98,3.6
617,3612,,127.54,20.89,4.58
618,3613,Hya,137.39,-11.03,4.89
619,3614,,163.82,-59.32,3.75
620,3615,Vol,200.59,-72.2,4
621,3616,UMa,115.3,47.83,4.81
622,3619,UMa,123.12,33.45,4.48
623,3624,UMa,117.6,44.58,4.67
624,3628,Pyx,149.39,-40.11,4.56
625,3634,Vel,161.19,-55.87,2.21
626,3642,,214.25,-73.03,4.57
627,3643,,221.32,-73.28,4.48
628,3654,,163.4,-56.8,5
629,3659,,183.41,-67.53,3.45
630,3662,UMa,123.31,36.11,4.84
631,3663,,190.86,-69.48,3.98
632,3665,Hya,140.29,-13.05,3.88
633,3682,,159.22,-50.94,4.94
634,3684,,158.41,-49.9,4.62
635,3685,Car,211.97,-72.24,1.69
636,3690,Lyn,130.57,20.1,3.82
637,3696,,181.83,-66.07,4.34
638,3699,Car,185.33,-67.12,2.25
639,3705,Lyn,131.84,17.96,3.14
640,3706,Hya,146.53,-26.15,4.81
641,3709,Hya,145.81,-23.82,4.79
642,3718,Pyx,153.06,-39.03,4.72
643,3728,,192.77,-68.59,4.81
644,3731,Leo,135.3,10.43,4.46
645,3733,Pyx,155.03,-41.51,4.68
646,3734,Vel,178.89,-63.72,2.5
647,3748,Hya,147.28,-22.38,1.97
648,3749,,152.83,-35.18,4.68
649,3751,,104.48,60.69,4.3
650,3757,UMa,120.82,45.17,3.67
651,3759,Hya,145.58,-16.7,4.61
652,3765,Ant,161,-47.35,4.51
653,3771,UMa,116.33,51.25,4.57
654,3773,Leo,137.87,7.89,4.31
655,3775,UMa,127.26,34.9,3.18
656,3782,Leo,141.65,-3.16,4.97
657,3786,Vel,164.74,-51.16,3.6
658,3787,Hya,145.74,-14.97,4.57
659,3799,UMa,127.43,35.36,4.51
660,3800,LMi,133.82,20.75,4.55
661,3803,,184.21,-64.24,3.13
662,3809,,132.78,23.83,4.81
663,3825,,188.74,-65.37,4.09
664,3827,Leo,144.32,-6.96,5
665,3834,,145.34,-8.93,4.68
666,3836,,174.84,-57.96,4.35
667,3845,Hya,147.64,-14.28,3.91
668,3852,Leo,144.25,-3.76,3.52
669,3856,,193.68,-66.19,4.53
670,3858,,157.04,-35.07,4.76
671,3862,,157.45,-35.28,4.91
672,3871,Ant,159.94,-38.61,4.79
673,3873,Leo,140.7,9.72,2.98
674,3884,,197.07,-66.31,3.69
675,3888,UMa,126.27,42.65,3.81
676,3890,Car,202.89,-67.5,2.96
